"Date","Price","Open","High","Low","Change %"
"Aug 02, 2022","4,307.46","4,259.33","4,327.88","4,259.33","1.13%"
"Aug 01, 2022","4,259.33","4,287.00","4,293.57","4,220.01","-0.43%"
"Jul 29, 2022","4,277.60","4,371.00","4,377.35","4,238.50","-1.93%"
"Jul 28, 2022","4,361.60","4,425.00","4,427.01","4,349.80","-1.22%"
"Jul 27, 2022","4,415.60","4,444.00","4,445.17","4,404.10","-0.40%"
"Jul 26, 2022","4,433.29","4,467.80","4,471.50","4,412.93","-0.51%"
"Jul 25, 2022","4,456.05","4,465.00","4,484.75","4,426.13","0.06%"
"Jul 22, 2022","4,453.25","4,426.55","4,470.83","4,407.34","0.87%"
"Jul 21, 2022","4,414.80","4,356.00","4,437.06","4,344.00","1.62%"
"Jul 20, 2022","4,344.25","4,322.60","4,356.00","4,316.10","0.72%"
"Jul 19, 2022","4,313.20","4,305.65","4,346.50","4,280.00","0.39%"
"Jul 18, 2022","4,296.25","4,359.00","4,363.15","4,292.42","-1.23%"
"Jul 15, 2022","4,349.60","4,492.00","4,499.15","4,348.83","-2.97%"
"Jul 14, 2022","4,482.60","4,490.00","4,582.25","4,482.24","-0.07%"
"Jul 13, 2022","4,485.65","4,625.00","4,660.00","4,480.00","-2.95%"
"Jul 12, 2022","4,622.05","4,578.88","4,665.21","4,573.50","1.15%"
"Jul 11, 2022","4,569.48","4,420.50","4,579.24","4,413.77","3.59%"
"Jul 08, 2022","4,411.10","4,395.00","4,429.15","4,351.00","0.58%"
"Jul 07, 2022","4,385.60","4,353.50","4,400.13","4,321.52","0.96%"
"Jul 06, 2022","4,344.10","4,280.00","4,398.20","4,277.87","1.72%"
"Jul 05, 2022","4,270.60","4,205.05","4,282.45","4,205.05","1.79%"
"Jul 04, 2022","4,195.65","4,205.05","4,205.05","4,198.39","0.00%"
"Jul 01, 2022","4,195.65","4,151.37","4,212.94","4,151.37","1.30%"
"Jun 30, 2022","4,141.97","4,117.00","4,179.80","4,115.65","0.84%"
"Jun 29, 2022","4,107.60","4,096.00","4,151.25","4,080.01","0.51%"
"Jun 28, 2022","4,086.60","4,133.00","4,140.50","4,062.00","-0.90%"
"Jun 27, 2022","4,123.60","4,140.50","4,144.85","4,125.00","-0.18%"
"Jun 24, 2022","4,131.10","4,102.00","4,156.70","4,082.56","0.85%"
"Jun 23, 2022","4,096.13","4,020.75","4,118.40","4,016.69","2.02%"
"Jun 22, 2022","4,014.88","4,022.50","4,043.44","4,010.56","0.10%"
"Jun 21, 2022","4,010.75","3,904.99","4,035.43","3,902.01","2.89%"
"Jun 20, 2022","3,897.94","3,904.99","3,904.99","3,904.99","-0.18%"
"Jun 17, 2022","3,904.99","3,898.00","3,921.00","3,889.00","0.18%"
"Jun 16, 2022","3,898.00","3,890.55","3,943.70","3,890.55","0.01%"
"Jun 15, 2022","3,897.60","3,973.60","3,985.10","3,890.00","-1.80%"
"Jun 14, 2022","3,968.90","3,971.00","4,001.75","3,948.60","-0.05%"
"Jun 13, 2022","3,971.00","3,944.40","4,041.90","3,937.48","0.67%"
"Jun 10, 2022","3,944.40","3,851.90","3,946.40","3,851.90","2.45%"
