Date;Price;Open;High;Low;Change %;Date;Dia;Año;mes;Fecha1;Fecha
Jan 03 2022;4070;4068.81;4105.5;4034.81;0;January;3;2022;1;2022-01-3;3/01/2022
Jan 04 2022;4080.2;4070;4091.5;4065.93;0.0025;January;4;2022;1;2022-01-4;4/01/2022
Jan 05 2022;4025.5;4080.2;4080.2;4014;-0.0134;January;5;2022;1;2022-01-5;5/01/2022
Jan 06 2022;4034.51;4026.09;4065.59;4022.84;0.0022;January;6;2022;1;2022-01-6;6/01/2022
Jan 07 2022;4051.06;4034.51;4059.98;4024.01;0.0041;January;7;2022;1;2022-01-7;7/01/2022
Jan 10 2022;4051.06;4051.06;4051.06;4047.01;0;January;10;2022;1;2022-01-10;10/01/2022
Jan 11 2022;3991.9;4051.06;4051.06;3990.65;-0.0146;January;11;2022;1;2022-01-11;11/01/2022
Jan 12 2022;3974.51;3991.9;3992.99;3961.66;-0.0044;January;12;2022;1;2022-01-12;12/01/2022
Jan 13 2022;3967.4;3974.51;3979.03;3941.45;-0.0018;January;13;2022;1;2022-01-13;13/01/2022
Jan 14 2022;4007.26;3967.4;4017.51;3954.01;0.01;January;14;2022;1;2022-01-14;14/01/2022
Jan 17 2022;4007.26;4007.26;4007.26;4007.26;0;January;17;2022;1;2022-01-17;17/01/2022
Jan 18 2022;4037.19;4007.26;4041.76;4001.77;0.0075;January;18;2022;1;2022-01-18;18/01/2022
Jan 19 2022;3994.36;4037.19;4037.19;3990.01;-0.0106;January;19;2022;1;2022-01-19;19/01/2022
Jan 20 2022;3975.01;3994.36;3994.36;3966.51;-0.0048;January;20;2022;1;2022-01-20;20/01/2022
Jan 21 2022;3956.43;3975.01;3988.01;3951.61;-0.0047;January;21;2022;1;2022-01-21;21/01/2022
Jan 24 2022;3976.5;3957.03;3981.2;3953.08;0.0051;January;24;2022;1;2022-01-24;24/01/2022
Jan 25 2022;3968.15;3976.5;4004;3962.5;-0.0021;January;25;2022;1;2022-01-25;25/01/2022
Jan 26 2022;3930;3969.34;3973.72;3928;-0.0096;January;26;2022;1;2022-01-26;26/01/2022
Jan 27 2022;3963.01;3930.59;3971.51;3924.59;0.0084;January;27;2022;1;2022-01-27;27/01/2022
Jan 28 2022;3958.01;3963.01;3995.01;3952.2;-0.0013;January;28;2022;1;2022-01-28;28/01/2022
Jan 31 2022;3947.78;3958.01;3970.01;3937.01;-0.0026;January;31;2022;1;2022-01-31;31/01/2022
Feb 01 2022;3925.51;3947.78;3947.78;3915.05;-0.0056;February;1;2022;2;2022-02-1;1/02/2022
Feb 02 2022;3935.01;3925.51;3940.01;3910.01;0.0024;February;2;2022;2;2022-02-2;2/02/2022
Feb 03 2022;3956.43;3935.01;3960.01;3924.95;0.0054;February;3;2022;2;2022-02-3;3/02/2022
Feb 04 2022;3952.55;3956.43;3975.01;3946.16;-0.001;February;4;2022;2;2022-02-4;4/02/2022
Feb 07 2022;3965.61;3952.55;3974.7;3943.34;0.0033;February;7;2022;2;2022-02-7;7/02/2022
Feb 08 2022;3948.01;3965.61;3983.01;3941.61;-0.0044;February;8;2022;2;2022-02-8;8/02/2022
Feb 09 2022;3937.72;3949.2;3957.41;3931.01;-0.0026;February;9;2022;2;2022-02-9;9/02/2022
Feb 10 2022;3924.01;3937.72;3939.01;3904.01;-0.0035;February;10;2022;2;2022-02-10;10/02/2022
Feb 11 2022;3928.99;3924.01;3933.41;3898.01;0.0013;February;11;2022;2;2022-02-11;11/02/2022
Feb 14 2022;3944.88;3924.82;3946;3909.51;0.004;February;14;2022;2;2022-02-14;14/02/2022
Feb 15 2022;3950.99;3944.88;3956.3;3933.2;0.0015;February;15;2022;2;2022-02-15;15/02/2022
Feb 16 2022;3964.4;3951.59;3970.76;3951.59;0.0034;February;16;2022;2;2022-02-16;16/02/2022
Feb 17 2022;3933.75;3963.81;3972.52;3926;-0.0077;February;17;2022;2;2022-02-17;17/02/2022
Feb 18 2022;3932.01;3934.34;3939.36;3919.3;-0.0004;February;18;2022;2;2022-02-18;18/02/2022
Feb 21 2022;3935.01;3932.01;3939.01;3932.01;0.0008;February;21;2022;2;2022-02-21;21/02/2022
Feb 22 2022;3930.01;3935.01;3940.01;3925.01;-0.0013;February;22;2022;2;2022-02-22;22/02/2022
Feb 23 2022;3913.01;3930.01;3930.01;3904.01;-0.0043;February;23;2022;2;2022-02-23;23/02/2022
Feb 24 2022;3927.01;3913.01;3979.01;3910.51;0.0036;February;24;2022;2;2022-02-24;24/02/2022
Feb 25 2022;3913.55;3927.01;3927.01;3900.01;-0.0034;February;25;2022;2;2022-02-25;25/02/2022
Feb 28 2022;3937.01;3913.55;3943.01;3894.2;0.006;February;28;2022;2;2022-02-28;28/02/2022
Mar 01 2022;3883.01;3937.01;3947.01;3880.55;-0.0137;March;1;2022;3;2022-03-1;1/03/2022
Mar 02 2022;3838.01;3883.01;3890.01;3834.17;-0.0116;March;2;2022;3;2022-03-2;2/03/2022
Mar 03 2022;3759.44;3838.01;3838.01;3745.61;-0.0205;March;3;2022;3;2022-03-3;3/03/2022
